peak_utc,peak_counts,class_like
2024-05-15 06:33:16,27.8,B/A
2024-05-15 06:35:47,30.1,B/A
2024-05-15 06:38:00,31.5,B/A
2024-05-15 06:40:43,29.3,B/A
2024-05-15 06:42:47,28.9,B/A
2024-05-15 06:44:48,29.3,B/A
2024-05-15 06:46:52,32.0,B/A
2024-05-15 06:48:58,29.2,B/A
2024-05-15 06:51:31,28.6,B/A
2024-05-15 06:53:41,30.0,B/A
2024-05-15 06:55:58,27.3,B/A
2024-05-15 06:58:01,27.6,B/A
2024-05-15 07:00:30,28.1,B/A
2024-05-15 07:02:56,28.0,B/A
2024-05-15 07:05:07,26.9,B/A
2024-05-15 07:07:08,32.7,B/A
2024-05-15 07:09:35,29.7,B/A
2024-05-15 07:11:58,28.9,B/A
2024-05-15 07:14:19,29.4,B/A
2024-05-15 07:16:52,28.5,B/A
2024-05-15 07:18:55,28.5,B/A
2024-05-15 07:21:06,28.3,B/A
2024-05-15 07:23:23,30.5,B/A
2024-05-15 07:25:50,30.9,B/A
2024-05-15 07:29:14,30.1,B/A
2024-05-15 07:31:23,29.8,B/A
2024-05-15 07:33:57,28.4,B/A
2024-05-15 07:36:19,27.1,B/A
2024-05-15 07:40:22,31.9,B/A
2024-05-15 07:43:05,28.3,B/A
2024-05-15 07:46:13,31.3,B/A
2024-05-15 07:48:32,28.2,B/A
2024-05-15 07:51:05,29.9,B/A
2024-05-15 07:53:50,28.5,B/A
2024-05-15 07:55:59,439.9,B/A
2024-05-15 08:03:28,40.9,B/A
2024-05-15 08:05:44,35.6,B/A
2024-05-15 08:08:20,34.2,B/A
2024-05-15 08:14:05,27.9,B/A
2024-05-15 08:16:47,30.5,B/A
2024-05-15 08:20:09,29.1,B/A
2024-05-15 08:22:18,28.6,B/A
2024-05-15 08:24:22,29.9,B/A
2024-05-15 08:26:32,30.7,B/A
2024-05-15 08:28:51,27.4,B/A
2024-05-15 08:31:12,28.1,B/A
2024-05-15 08:33:59,26.8,B/A
2024-05-15 08:36:09,30.9,B/A
2024-05-15 08:38:24,30.4,B/A
2024-05-15 08:40:56,28.7,B/A
2024-05-15 08:43:33,27.5,B/A
2024-05-15 08:45:51,28.3,B/A
2024-05-15 08:49:19,29.5,B/A
2024-05-15 08:51:30,31.3,B/A
2024-05-15 08:53:36,29.3,B/A
2024-05-15 08:55:48,31.3,B/A
2024-05-15 08:58:55,31.3,B/A
2024-05-15 09:02:06,28.8,B/A
2024-05-15 09:04:15,30.5,B/A
2024-05-15 09:06:16,28.7,B/A
2024-05-15 09:08:34,29.9,B/A
2024-05-15 09:10:35,28.1,B/A
2024-05-15 09:13:05,28.8,B/A
2024-05-15 09:15:23,29.1,B/A
2024-05-15 09:17:30,29.4,B/A
2024-05-15 09:19:33,28.0,B/A
2024-05-15 09:22:07,29.7,B/A
2024-05-15 09:24:27,28.0,B/A
2024-05-15 09:27:38,30.7,B/A
2024-05-15 09:30:16,27.8,B/A
2024-05-15 09:32:19,29.6,B/A
2024-05-15 09:34:23,30.7,B/A
2024-05-15 09:37:01,27.0,B/A
2024-05-15 09:39:05,30.9,B/A
2024-05-15 09:43:09,28.1,B/A
2024-05-15 09:45:20,27.7,B/A
2024-05-15 09:48:09,33.7,B/A
2024-05-15 09:50:11,33.3,B/A
2024-05-15 09:52:56,28.4,B/A
2024-05-15 09:55:35,28.3,B/A
2024-05-15 09:57:57,28.3,B/A
2024-05-15 10:00:52,28.2,B/A
2024-05-15 10:02:53,32.4,B/A
2024-05-15 10:05:12,31.6,B/A
2024-05-15 10:07:16,31.6,B/A
2024-05-15 10:09:54,29.5,B/A
2024-05-15 10:14:04,28.9,B/A
2024-05-15 10:16:28,28.5,B/A
2024-05-15 10:19:07,29.9,B/A
